Title,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils
Bad Kitty,The bath your mother,TRUE,warned you about,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bad Kitty.ai,"palmarosa, neroli, and wintergreen"
Bliss,Napping in the sun,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Bliss.ai,"rose geranium, ylang-ylang, and peppermint"
Detox,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Detox.ai,"rosemary, bergamot, ginger, and eucalyptus"
Dragon's Blood,Focus and direction,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dragon's Blood.ai,dragon’s blood
Dreamtime,Find messages in your dreams,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Dreamtime.ai,"wormwood, vetiver, valerian, rosewood, lavender, and eucalyptus"
Earth,Relief of pain and snoring,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Earth.ai,"litsea cubeba, black pepper, pine, and marjoram"
Freedom,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Freedom.ai,"bergamot, eucalyptus, rosemary and ginger"
Intuition,Improves with practice,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Intuition.ai,"wormwood, vetiver, valerian, rosewood, lavender and eucalyptus"
Keep Calm,And Transmute,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Keep Calm.ai,"black pepper, pine, and marjoram"
Lavender,"Calming, soothing, and relaxing",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lavender.ai,"lavender, clary sage, and ylang-ylang"
Lime,Be prepared to clean the tub!,TRUE,Lime removes dead skin,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Lime.ai,lime
Master Zing,Be prepared to dance,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Master Zing.ai,"five fold orange, five fold lemon, mandarin, clove, and patchouli"
Melissa,Valium in the bath,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Melissa.ai,melissa
Mint,Refreshing,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Mint.ai,"peppermint, sweet birch, wintergreen and spearmint"
Nag Champa,"Love, light, and peace",TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Nag Champa.ai,nag champa
Namaste,We greet the best in each other,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Namaste.ai,"peru balsam, five fold orange, mandarin, lavender, and rosewood"
Patience,Everything that is meant to be will be,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Patience.ai,"balsam, five fold orange, lavender, rosewood, and tangerine"
Relax,Be prepared to sleep,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Relax.ai,"bergamot, eucalyptus, rosemary, and ginger"
Rose,Balancing the core,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Rose.ai,rose
Sage,Sage is crafted to clear your energy,TRUE,See deeply and serenely into the Universe,TRUE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sage.ai,"sage, lemon, fennel, rosemary, tea tree, spruce, cedar, and green oak moss"
Shine,Be your own shine,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Shine.ai,"frankincense, myrrh, ylang-ylang"
Sweetgrass,Bring in all the new clear energy,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Sweetgrass.ai,sweetgrass
Tantra,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Tantra.ai,tantra blend
Thieves,,FALSE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"cinnamon, five fold lemon, clove, eucalyptus, and rosemary"
Transform,Sweet and easy evolution,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Transform.ai,"violet, rose, and jasmine"
Violet,Ease of communication,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Violet.ai,violet
Wild Love,Accept the wild nature,TRUE,,FALSE,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Wild Love.ai,"patchouli, ylang-ylang, aniseed"
